#Transcript position	Transcript coverage profile
0.0	204.0951650862223
1.0	225.83725146745346
2.0	259.76620198755825
3.0	289.4579958958341
4.0	330.0837141199731
5.0	470.9212054400638
6.0	476.44622308572247
7.0	384.58132508381686
8.0	396.255363737842
9.0	516.9337254514817
10.0	582.9185979014218
11.0	592.3277572996519
12.0	534.7675961604857
13.0	597.8902207157896
14.0	662.3609586217275
15.0	623.2490358659578
16.0	577.9314723216012
17.0	466.5537438146977
18.0	430.56362681631447
19.0	431.908561402701
20.0	425.2269363765677
21.0	423.4615565732033
22.0	514.247110918269
23.0	557.5022923834283
24.0	619.0406705095791
25.0	598.053890452371
26.0	521.1709516732112
27.0	432.17883565978246
28.0	430.62777491766985
29.0	453.71458153142515
30.0	478.78852249581985
31.0	474.46807268164054
32.0	453.8803808753724
33.0	448.05114829224084
34.0	493.6147695896945
35.0	589.5910403766454
36.0	640.6745530606518
37.0	724.1094594402642
38.0	722.925004862464
39.0	651.2635573492194
40.0	569.8037671880555
41.0	527.8433472231533
42.0	618.6156118078095
43.0	622.3691046150741
44.0	559.1520031645392
45.0	572.8863157995153
46.0	632.6869575591767
47.0	616.5394983979804
48.0	554.293896652153
49.0	540.5467551572534
50.0	533.758069562241
51.0	556.4168740603754
52.0	586.3353307302233
53.0	655.2231773169921
54.0	690.931596906982
55.0	679.2521515965756
56.0	648.1813360922451
57.0	592.2365294571096
58.0	572.8081725364389
59.0	616.7870701315048
60.0	705.7917547017338
61.0	804.3748121550959
62.0	832.7966256843112
63.0	731.2911712679561
64.0	666.7677526937521
65.0	659.066479307201
66.0	665.1126557371045
67.0	698.8586018642732
68.0	688.8384425657839
69.0	668.9642604839431
70.0	681.4656856180582
71.0	668.3971844052535
72.0	671.1090204435789
73.0	691.0836771960604
74.0	699.0998409521125
75.0	656.5331511844677
76.0	620.1744410137661
77.0	616.6303851824001
78.0	568.1793071400795
79.0	539.2981909356839
80.0	560.5468192831416
81.0	637.0816272456116
82.0	660.3354438378379
83.0	599.132154849765
84.0	559.4832261961435
85.0	544.3359937433765
86.0	513.6006815269346
87.0	484.8930018088662
88.0	486.7985228289369
89.0	467.9853394559565
90.0	441.96632607631483
91.0	413.87161843520363
92.0	393.99320494225225
93.0	368.3847870353194
94.0	336.3776723306751
95.0	301.9486010388752
96.0	245.84704763126342
97.0	166.86001742211943
98.0	95.27469556893749
99.0	23.015306072683767
