#Transcript position	Transcript coverage profile
0.0	210.02970834064388
1.0	232.13275848978026
2.0	266.7747138251554
3.0	296.87110006854965
4.0	337.6589097743383
5.0	478.71562939940395
6.0	484.76331675870364
7.0	392.68564118851737
8.0	404.43765444689876
9.0	525.4264198974104
10.0	591.2181666149581
11.0	600.5346597611987
12.0	543.0515984237074
13.0	606.2927927705176
14.0	670.5901375915024
15.0	631.3563193714376
16.0	585.5411980193928
17.0	474.2100827797615
18.0	437.8928264746351
19.0	439.19961180688773
20.0	432.6419066384677
21.0	431.05954905981554
22.0	522.0397507535849
23.0	565.1116453533665
24.0	626.3224122647343
25.0	605.3566090627572
26.0	528.2505041514883
27.0	439.0077784252791
28.0	437.55995482696267
29.0	460.7232079687932
30.0	485.92311907266276
31.0	481.66650302025806
32.0	461.1928372279116
33.0	455.4456070828627
34.0	500.3397009236779
35.0	596.3873500921784
36.0	648.1876511601945
37.0	732.0012394165306
38.0	730.9537973592779
39.0	659.3332492412427
40.0	577.83789171355
41.0	535.7913850187673
42.0	626.9113501618289
43.0	630.9204505908301
44.0	567.7508362528962
45.0	581.3997662869194
46.0	640.642613533013
47.0	624.3602972424046
48.0	562.2797746013127
49.0	548.6059324465714
50.0	541.9945402389317
51.0	564.6152745608013
52.0	594.8733000008509
53.0	663.7244741449524
54.0	699.4066764514149
55.0	687.304443944474
56.0	656.0880805021811
57.0	600.0745335719888
58.0	580.4776580831644
59.0	624.4571294263342
60.0	713.4798874972055
61.0	811.9377847741871
62.0	840.1828100504904
63.0	738.3783021876214
64.0	673.8352675051506
65.0	666.1968890544658
66.0	672.058986793907
67.0	705.5797967882024
68.0	695.4562244704045
69.0	675.455658391084
70.0	687.8942479289834
71.0	674.8131294700091
72.0	677.6366612134301
73.0	697.7674242119074
74.0	705.9438256414012
75.0	663.3764073421245
76.0	626.8736976006433
77.0	623.2377780593623
78.0	575.0058079196123
79.0	546.2037554951038
80.0	568.6401146113602
81.0	645.6685152117079
82.0	669.007037331563
83.0	607.065330632602
84.0	566.9006228752461
85.0	551.9085969031574
86.0	520.4127340574504
87.0	490.8755725674857
88.0	492.98228574833615
89.0	473.9775669267948
90.0	447.6535202955178
91.0	419.0258329389296
92.0	399.27173575603234
93.0	373.3449473090368
94.0	340.6061031327645
95.0	305.4074049797993
96.0	248.83177721875194
97.0	169.02166197391946
98.0	96.77421946393004
99.0	23.298079564416305
